feature,mean_abs_shap,target,rank
power_peak_W,0.024632072182724882,insulation_integrity_score,33
power_rms_W,0.023034248595455185,insulation_integrity_score,34
tension_area_Nmm,0.02167925391733114,insulation_integrity_score,35
log_tension_area_Nmm,0.020383264440716028,insulation_integrity_score,36
log_tension_variability_ratio,0.017817588127049176,insulation_integrity_score,37
slot_density_idx,0.01708817139492251,insulation_integrity_score,38
tension_variability_ratio,0.016463090533367572,insulation_integrity_score,39
log_slot_density_idx,0.016226234531123186,insulation_integrity_score,40
material_Aluminum,0.012965245159437106,insulation_integrity_score,41
material_Composite,0.012095706707695495,insulation_integrity_score,42
material_Steel,0.00805860303728431,insulation_integrity_score,43
wire_diameter_mm,0.005775609231400803,insulation_integrity_score,44
log_tension_variability_ratio,0.003904609527142751,process_stability_index,1
tension_variability_ratio,0.0038802631427368325,process_stability_index,2
power_instability_idx,0.0019782133120167383,process_stability_index,3
tension_mean_N,0.00162589624028449,process_stability_index,4
log_tension_slope_start,0.0015906577877668735,process_stability_index,5
tension_dynamic_range,0.001480310365275332,process_stability_index,6
insulation_thickness_mm,0.0014739230639065793,process_stability_index,7
temp_gradient_C_per_turn,0.0014024915849645003,process_stability_index,8
power_energy_J,0.0013846313860669804,process_stability_index,9
tension_slope_start,0.0013842948280879653,process_stability_index,10
mech_load_idx,0.0012152038149430943,process_stability_index,11
tension_peak_N,0.0011604000007532742,process_stability_index,12
slot_depth_mm,0.0010382849626510851,process_stability_index,13
wire_tension_N,0.0009301396492918509,process_stability_index,14
tension_std_N,0.0007951663804517167,process_stability_index,15
slot_width_mm,0.0006170661515839545,process_stability_index,16
winding_speed_rpm,0.0005901241571875717,process_stability_index,17
back_tension_N,0.0005815996211215221,process_stability_index,18
back_tension_ratio,0.0005775888638981337,process_stability_index,19
thermal_stress_idx,0.0005564952745019219,process_stability_index,20
log_thermal_stress_idx,0.0005432331537243828,process_stability_index,21
temp_max_C,0.0005414490048568614,process_stability_index,22
num_turns,0.0005005422865900513,process_stability_index,23
power_std_W,0.0004939261973278822,process_stability_index,24
log_back_tension_ratio,0.0004638975995551652,process_stability_index,25
log_slot_density_idx,0.00046102181776119404,process_stability_index,26
slot_density_idx,0.0004431705829195684,process_stability_index,27
spindle_torque_Nm,0.00043375080664767547,process_stability_index,28
tension_area_Nmm,0.00042933260080488337,process_stability_index,29
log_tension_area_Nmm,0.0004240129235302505,process_stability_index,30
log_power_std_W,0.00042399202777651643,process_stability_index,31
speed_tension_product,0.0004072249636322467,process_stability_index,32
winding_temperature_C,0.0003436646964587506,process_stability_index,33
log_power_per_turn_W,0.000325111933852046,process_stability_index,34
power_per_turn_W,0.00029665033456538687,process_stability_index,35
power_peak_W,0.000265118557879938,process_stability_index,36
log_temp_time_above_60s,0.00020459302510672777,process_stability_index,37
material_Composite,0.00019210069696231285,process_stability_index,38
power_mean_W,0.0001829975724503702,process_stability_index,39
power_rms_W,0.0001752036934187537,process_stability_index,40
temp_time_above_60s,0.00015514250406023587,process_stability_index,41
material_Steel,0.00013062969515146387,process_stability_index,42
wire_diameter_mm,0.00012427690509305694,process_stability_index,43
material_Aluminum,0.0001038823567671114,process_stability_index,44
temp_max_C,0.0498396056032952,insulation_failure,1
winding_temperature_C,0.03412920632043759,insulation_failure,2
log_temp_time_above_60s,0.029932403089641655,insulation_failure,3
temp_time_above_60s,0.027224572117601337,insulation_failure,4
slot_depth_mm,0.017258769807857278,insulation_failure,5
power_instability_idx,0.016850915082051846,insulation_failure,6
log_thermal_stress_idx,0.01357631775080247,insulation_failure,7
speed_tension_product,0.012301522751066276,insulation_failure,8
thermal_stress_idx,0.011164898309562306,insulation_failure,9
temp_gradient_C_per_turn,0.0081125531762226,insulation_failure,10
log_tension_slope_start,0.008039458727836535,insulation_failure,11
wire_tension_N,0.007900052159883878,insulation_failure,12
spindle_torque_Nm,0.007351646403178582,insulation_failure,13
log_tension_area_Nmm,0.006951152558208137,insulation_failure,14
slot_density_idx,0.006871672040690727,insulation_failure,15
power_rms_W,0.00682215571487705,insulation_failure,16
tension_area_Nmm,0.006772735115042353,insulation_failure,17
log_slot_density_idx,0.0067520908177582,insulation_failure,18
slot_width_mm,0.006708597784087305,insulation_failure,19
tension_dynamic_range,0.006535024313803323,insulation_failure,20
tension_mean_N,0.006493131139628063,insulation_failure,21
mech_load_idx,0.006437742903528536,insulation_failure,22
power_peak_W,0.006333703803641728,insulation_failure,23
power_mean_W,0.005983201543293492,insulation_failure,24
tension_slope_start,0.005978956466692272,insulation_failure,25
log_tension_variability_ratio,0.005910257842279739,insulation_failure,26
log_back_tension_ratio,0.005783689494264578,insulation_failure,27
winding_speed_rpm,0.005655452057149385,insulation_failure,28
log_power_per_turn_W,0.005606377887105009,insulation_failure,29
tension_variability_ratio,0.005587457748753914,insulation_failure,30
power_energy_J,0.005417553694419254,insulation_failure,31
insulation_thickness_mm,0.0052466022385110585,insulation_failure,32
back_tension_ratio,0.005182783204826447,insulation_failure,33
power_per_turn_W,0.004960317374350755,insulation_failure,34
tension_peak_N,0.004880814768823759,insulation_failure,35
back_tension_N,0.004829215308414691,insulation_failure,36
num_turns,0.004735579049240404,insulation_failure,37
tension_std_N,0.00467985894872707,insulation_failure,38
power_std_W,0.004668426125059492,insulation_failure,39
log_power_std_W,0.004408395089891303,insulation_failure,40
wire_diameter_mm,0.001068900863822791,insulation_failure,41
material_Composite,0.0006526821033249931,insulation_failure,42
material_Steel,0.0006303800294303329,insulation_failure,43
material_Aluminum,0.0005340800985924472,insulation_failure,44
